fast_ema_period,slow_ema_period,stop_loss_pct,take_profit_pct,strategy_type,phase,total_orders,total_positions,pnl_total,pnl_pct,win_rate,expectancy,max_winner,avg_winner,avg_loser,max_loser,profit_factor,sharpe,sortino,volatility
10,100,0.03,0.06,ema,IS,736,184,-62.2125,-0.6221,0.1902,-0.338111,90.5075,14.6012,-3.8473,-21.5074,0.9474,-0.3666,-0.6608,0.5149
15,20,0.01,0.02,ema,IS,1292,323,71.2719,0.7127,0.2539,0.220656,53.3783,9.7964,-3.0375,-24.6371,1.1886,1.7396,3.1591,0.4036
15,20,0.01,0.04,ema,IS,1292,323,71.2719,0.7127,0.2539,0.220656,53.3783,9.7964,-3.0375,-24.6371,1.1886,1.7396,3.1591,0.4036
15,20,0.01,0.06,ema,IS,1292,323,71.2719,0.7127,0.2539,0.220656,53.3783,9.7964,-3.0375,-24.6371,1.1886,1.7396,3.1591,0.4036
15,20,0.02,0.02,ema,IS,1292,323,71.2719,0.7127,0.2539,0.220656,53.3783,9.7964,-3.0375,-24.6371,1.1886,1.7396,3.1591,0.4036
15,20,0.02,0.04,ema,IS,1292,323,71.2719,0.7127,0.2539,0.220656,53.3783,9.7964,-3.0375,-24.6371,1.1886,1.7396,3.1591,0.4036
15,20,0.02,0.06,ema,IS,1292,323,71.2719,0.7127,0.2539,0.220656,53.3783,9.7964,-3.0375,-24.6371,1.1886,1.7396,3.1591,0.4036
15,20,0.03,0.02,ema,IS,1292,323,71.2719,0.7127,0.2539,0.220656,53.3783,9.7964,-3.0375,-24.6371,1.1886,1.7396,3.1591,0.4036
15,20,0.03,0.04,ema,IS,1292,323,71.2719,0.7127,0.2539,0.220656,53.3783,9.7964,-3.0375,-24.6371,1.1886,1.7396,3.1591,0.4036
15,20,0.03,0.06,ema,IS,1292,323,71.2719,0.7127,0.2539,0.220656,53.3783,9.7964,-3.0375,-24.6371,1.1886,1.7396,3.1591,0.4036
15,30,0.01,0.02,ema,IS,1076,269,47.5281,0.4753,0.2639,0.176684,50.7376,10.0528,-3.3647,-24.6371,1.1449,1.2421,2.4688,0.4159
15,30,0.01,0.04,ema,IS,1076,269,47.5281,0.4753,0.2639,0.176684,50.7376,10.0528,-3.3647,-24.6371,1.1449,1.2421,2.4688,0.4159
